다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6345678,2017081,1141011800,110811001,서울 서울서대문1,서울특별시 서대문구 홍은동(명지대입구 부근),9,10,0,5,3,2,126.9266329,37.58056239,"{""type"":""Polygon"",""coordinates"":[[[126.83574751105239,37.536599092197129],[126.83574029035843,37.536441937175525],[126.83571589842693,37.536285880740749],[126.83567451837493,37.536132110984632],[126.83561646589543,37.535981798711077],[126.83554218482216,37.535836086595367],[126.83545223810378,37.535696085529125],[126.83534731133216,37.53556285931824],[126.83522820370138,37.53543742283069],[126.83509582132723,37.535320729341549],[126.834951170471,37.535213668693665],[126.83479535425568,37.535117054662024],[126.83462955684499,37.535031622162101],[126.83445504122869,37.534958021831017],[126.83427313342715,37.534896814531891],[126.83408522029391,37.534848464132033],[126.83389273025408,37.53481334009961],[126.83369712884438,37.534791710268671],[126.83349990516749,37.534783737158129],[126.83330255939789,37.534789483309723],[126.83310659267215,37.534808903119121],[126.83291349683456,37.534841850889975],[126.83272474203945,37.534888075355532],[126.83254176314139,37.534947223206423],[126.83236595510712,37.535018846274703],[126.83219865380207,37.535102398720007],[126.8320411336649,37.535197244225955],[126.83189459181592,37.535302661316912],[126.83176014574646,37.535417848751372],[126.83163881744984,37.535541928134691],[126.83153152991333,37.535673956516433],[126.83143910031001,37.535812928152964],[126.83136223309381,37.535957787085735],[126.83130151092668,37.536107428891185],[126.83125739793427,37.536260716021026],[126.83123023061601,37.536416481355005],[126.83122021321761,37.536573538990311],[126.83122742442934,37.536730694193686],[126.83125180712329,37.536886751455341],[126.83129317846306,37.537040522658394],[126.83135122302046,37.537190836954977],[126.83142549720233,37.537336551608256],[126.83151543826958,37.53747655564959],[126.83162036080194,37.53760978518266],[126.83173946573415,37.537735225238528],[126.83187184703233,37.537851922433724],[126.83201649846809,37.537958986812789],[126.83217231690065,37.538055604487354],[126.83233811809899,37.53814104043127],[126.83251263895822,37.538214643902762],[126.83269455329879,37.538275853943311],[126.83288247406831,37.53832420660229],[126.83307497260977,37.538359332342878],[126.83327058312807,37.53838096327916],[126.83346781624375,37.538388936858603],[126.83366517149554,37.538383190525252],[126.83386114745886,37.538363769888939],[126.83405425200868,37.538330820671135],[126.8342430147259,37.538284594182585],[126.83442600051535,37.538225443794083],[126.83460181420075,37.538153817750732],[126.83476911974509,37.53807026198325],[126.83492664258083,37.537975412908985],[126.83507318550576,37.537869992111958],[126.8352076309957,37.537754800946331],[126.83532895707506,37.537630717920081],[126.83543624082394,37.537498686094345],[126.83552866518434,37.537359711317393],[126.83560552586148,37.537214849643242],[126.83566624039234,37.537065205578649],[126.83571034488313,37.536911916740628],[126.83573750309277,37.536756150301343],[126.83574751105239,37.536599092197129]]]}"
6345672,2017081,1141012000,110811003,서울 서울서대문3,서울특별시 서대문구 남가좌동(가좌동광교회 부근),5,5,0,1,4,0,126.9233649,37.57726361,"{""type"":""Polygon"",""coordinates"":[[[126.91115908248743,36.281297706155705],[126.91115178844126,36.281140522319404],[126.91112760342962,36.280984450741684],[126.91108670903158,36.280830679632118],[126.91102941722775,36.280680379805062],[126.91095616602428,36.280534693840238],[126.91086751056919,36.280394732433777],[126.91076412660505,36.280261559090043],[126.91064680157275,36.28013618827606],[126.91051642802414,36.280019572768865],[126.91037399695377,36.279912601821096],[126.9102205945531,36.279816088524967],[126.91005738664317,36.27973076703244],[126.90988561648933,36.279657287136743],[126.90970658925549,36.279596208787915],[126.90952166983371,36.27954799487096],[126.90933226389834,36.279513013818217],[126.90913981350971,36.279491532376127],[126.90894578378381,36.279483711934091],[126.90875165060748,36.279489613873281],[126.90855889068273,36.279509191403896],[126.90836897144847,36.279542297628986],[126.90818333887765,36.279588680074596],[126.90800340409241,36.279647984229037],[126.90783053885919,36.279719760732107],[126.90766605668369,36.279803462575721],[126.90751121053208,36.279898452303783],[126.90736717720368,36.280004007342662],[126.90723505506439,36.280119325397571],[126.90711584843869,36.280243527078426],[126.90701046417384,36.280375668502771],[126.9069197049445,36.280514743064145],[126.90684426247529,36.280659694018617],[126.90678470861751,36.280809416242285],[126.90674149857088,36.28096277157232],[126.90671496194554,36.281118592367818],[126.90670529822297,36.281275692305094],[126.90671258335804,36.28143287632691],[126.90673675969259,36.281588948706045],[126.90677764591122,36.281742721208694],[126.90683493028189,36.281893022978124],[126.90690817502423,36.282038711375549],[126.9069968251867,36.282178675631016],[126.90710020518736,36.282311852153526],[126.90721752770581,36.282437226379493],[126.90734790026657,36.28255384542819],[126.90749033190525,36.282660819939423],[126.90764373641289,36.282757336712642],[126.90780694790458,36.282842661490278],[126.90797872300604,36.282916144379257],[126.90815775640321,36.282977225338634],[126.90834268301657,36.283025441404028],[126.90853209695335,36.283060424077881],[126.90872455591006,36.283081906564433],[126.90891859451037,36.283089727442579],[126.90911273659781,36.28308382531791],[126.90930550519971,36.283064246985845],[126.90949543261335,36.283031139367687],[126.9096810726173,36.282984754979722],[126.90986101386369,36.282925448392639],[126.91003388438959,36.282853669040598],[126.91019837052853,36.2827699640182],[126.91035321919395,36.282674970878155],[126.9104972535102,36.282569412297747],[126.91062937508123,36.282454090679408],[126.91074857959991,36.282329885521456],[126.91085396028301,36.282197740811995],[126.91094471456472,36.282058663257317],[126.91102015087061,36.281913709692333],[126.91107969753682,36.281763985320197],[126.91112289958204,36.281610628369059],[126.9111494276393,36.281454806529126],[126.91115908248743,36.281297706155705]]]}"
6345679,2017081,1144010400,111511001,서울 서울마포1,서울특별시 마포구 도화동(진도빌딩 부근),7,8,0,2,6,0,126.9477659,37.54044994,"{""type"":""Polygon"",""coordinates"":[[[128.98667597446291,35.164224059018778],[128.98666475992613,35.164067034968213],[128.98663692396264,35.163911410467783],[128.98659267597753,35.16375837036405],[128.98653235347024,35.163609079892836],[128.98645641744349,35.163464673917026],[128.98636544355352,35.163326253429467],[128.98626012512165,35.163194870189812],[128.98614126431818,35.16307152503061],[128.9860097653451,35.162957155319766],[128.98586662781682,35.16285263324],[128.98571294323705,35.162758753210824],[128.98554987958275,35.162676229374405],[128.98537867901166,35.162605690215287],[128.98520064239801,35.162547673341777],[128.98501712700838,35.162502618302568],[128.98482952789308,35.162470869520789],[128.98463927336738,35.162452669137338],[128.9844478117775,35.162448153567084],[128.9842565995277,35.162457359055665],[128.98406709105774,35.162480213687871],[128.9838807291147,35.162516545621123],[128.98369893258368,35.162566077824437],[128.9835230833846,35.16262843184473],[128.98335452221511,35.162703135071034],[128.98319452984362,35.162789618257541],[128.98304432504662,35.162887222760695],[128.98290504934087,35.16299520613434],[128.98277776488681,35.163112747563794],[128.98266343917032,35.163238950756622],[128.98256294193831,35.16337285660142],[128.98247703864396,35.163513445049851],[128.98240638408805,35.163659647815798],[128.98235151366785,35.163810350284649],[128.98231284694566,35.163964406795962],[128.98229067892947,35.164120644356039],[128.98228517587518,35.164277873508048],[128.98229638204904,35.164434898166817],[128.98232420999213,35.164590523852475],[128.98236845054302,35.164743565682578],[128.9824287664282,35.164892858368788],[128.98250469684609,35.165037266980889],[128.982595666311,35.16517569044597],[128.98270098163593,35.165307076913905],[128.98281984074509,35.165430425454026],[128.98295133948784,35.165544798595711],[128.98309447825693,35.165649324052055],[128.98324816551087,35.165743207300871],[128.98341123319136,35.165825734102199],[128.98358243901842,35.165896275881366],[128.9837604819582,35.165954294950559],[128.98394400455177,35.165999351694275],[128.98413161152996,35.166031101637607],[128.9843218743386,35.166049302604407],[128.98451334437982,35.166053818162041],[128.98470456499254,35.166044612065271],[128.98489408148291,35.166021756247773],[128.98508045086018,35.165985422588172],[128.98526225401329,35.165935888169884],[128.98543810882126,35.165873531513249],[128.98560667441578,35.165798825309452],[128.98576666989419,35.165712338894672],[128.98591687638552,35.165614731010599],[128.98605615232159,35.165506744206063],[128.98618343553485,35.165389199400067],[128.98629775857719,35.165262992987614],[128.98639825178296,35.165129084177913],[128.98648414982134,35.164988493109384],[128.98655479805115,35.16484228814781],[128.98660966126741,35.164691583974431],[128.9866483201267,35.164537526301551],[128.98667047985992,35.164381288158189],[128.98667597446291,35.164224059018778]]]}"
6345478,2017081,1144012100,111511002,서울 서울마포2,서울특별시 마포구 동교동(청원제일주유소 부근),5,5,0,0,4,1,126.9228425,37.55624545,"{""type"":""Polygon"",""coordinates"":[[[126.67128854660538,37.51364703294967],[126.67128167244944,37.513489871242228],[126.6712576303395,37.513333784246107],[126.67121660073028,37.513179960282578],[126.67115889664642,37.513029570569287],[126.67108495927262,37.512883758374009],[126.67099534893865,37.512743635346858],[126.67089074868007,37.512610266223589],[126.67077195520432,37.51248466696088],[126.67063987223992,37.512367792072197],[126.67049550376663,37.512260532779287],[126.67033995076052,37.512163704372028],[126.67017439538405,37.512078043395142],[126.67000009878424,37.512004202226066],[126.66981838531427,37.511942743557761],[126.66963064035268,37.511894133173861],[126.66943829104243,37.511858742518577],[126.66924280184823,37.511836841455697],[126.66904566102336,37.511828594568819],[126.6688483681082,37.511834066481846],[126.66865242384139,37.511853213676275],[126.66845931989151,37.511885892530806],[126.66827052647542,37.51193185382585],[126.66808747874524,37.511990746252415],[126.66791157218603,37.512062123589537],[126.66774414341496,37.512145441863858],[126.66758646784088,37.512240066542752],[126.66743974376625,37.512345277828658],[126.66730509006564,37.512460276049417],[126.66718353031621,37.512584184248695],[126.66707598926321,37.512716060778395],[126.66698328601041,37.512854901051483],[126.66690612708973,37.512999650110672],[126.66684509738778,37.513149204365568],[126.66680066336669,37.513302426937081],[126.66677316396972,37.513458151197646],[126.66676280597139,37.513615191553725],[126.66676967065192,37.513772353407241],[126.66679370352023,37.513928441194942],[126.66683472440243,37.514082266571627],[126.66689242053909,37.514232658276661],[126.66696635098683,37.514378472981676],[126.66705595562652,37.514518598960422],[126.66716055159553,37.514651971387373],[126.66727934231675,37.514777574205517],[126.66741142414536,37.514894452793307],[126.66755579313613,37.51500171581668],[126.66771134829722,37.515098547872327],[126.66787690740072,37.515184212304746],[126.66805120918634,37.515258056631417],[126.66823292914347,37.515319518063542],[126.66842068169628,37.515368130733435],[126.66861303947124,37.515403523127446],[126.66880853774643,37.515425425328935],[126.66900568799259,37.515433672719766],[126.66920299038318,37.515428200660665],[126.66939894389161,37.51540905267462],[126.6695920565685,37.515376372406941],[126.66978085793181,37.515330409120175],[126.66996391258805,37.515271514183816],[126.67013982484151,37.515200133895142],[126.67030725790215,37.515116812317103],[126.67046493623076,37.515022184082802],[126.67061166144121,37.514916969097747],[126.67074631462434,37.514801967146568],[126.67086787221878,37.514678055298873],[126.67097540954472,37.514546175313683],[126.6710681076117,37.514407331882943],[126.67114526004524,37.514262580059984],[126.67120628215601,37.514113023519073],[126.67125070771236,37.513959799208834],[126.67127819802833,37.513804073809695],[126.67128854660538,37.51364703294967]]]}"
6345528,2017081,1147010200,112911002,서울 서울양천2,서울특별시 양천구 목동(목동사거리 부근),7,7,1,1,5,0,126.8635259,37.53237153,"{""type"":""Polygon"",""coordinates"":[[[129.06591346835245,35.142946490234763],[129.0659021062757,35.14278947684646],[129.06587412776452,35.142633873755095],[129.0658297454963,35.142480865617479],[129.06576929799249,35.142331617425583],[129.06569324393863,35.142187264662994],[129.06560216422091,35.142048905165097],[129.06549674973184,35.141917592966401],[129.06537780445328,35.141794327442831],[129.06524623214864,35.141680046272072],[129.06510303622409,35.141575618223946],[129.06494930539392,35.141481839740806],[129.06478620906711,35.141399423277548],[129.06461498856979,35.141328997416437],[129.06443694816107,35.141271096165241],[129.06425344191891,35.141226161832421],[129.06406586587153,35.141194535212165],[129.06387564815898,35.141176457515357],[129.06368423687948,35.141172066019003],[129.06349308694203,35.141181395137792],[129.06330365451413,35.141204372889469],[129.0631173817319,35.141240824698286],[129.06293568351768,35.141290472663066],[129.06275994547505,35.141352940091672],[129.0625915041046,35.141427749952186],[129.06243164041214,35.1415143348718],[129.06228157217708,35.141612034530624],[129.06214243989518,35.14172010666077],[129.06201530458443,35.141837727073231],[129.06190113264617,35.14196400157261],[129.06180079264135,35.142097969603554],[129.0617150488429,35.142238611545338],[129.06164455478768,35.1423848560067],[129.06158984470201,35.142535590754363],[129.06155133691138,35.142689668979457],[129.06152932411624,35.142845917536569],[129.0615239746752,35.143003146844329],[129.06153532732125,35.143160161772528],[129.06156329782866,35.143315766064262],[129.06160767266582,35.143468775040411],[129.06166811468569,35.143618026346132],[129.06174416205931,35.143762381768475],[129.06183523845962,35.143900743335074],[129.06194064987019,35.144032058765951],[129.06205959348276,35.144155327671463],[129.06219116450441,35.144269613186729],[129.06233436277549,35.14437404369103],[129.06248809630293,35.144467825386265],[129.06265119667583,35.144550244804385],[129.06282242136507,35.144620674188857],[129.06300046809432,35.144678576720253],[129.06318398266205,35.144723513629316],[129.0633715654771,35.144755141408893],[129.06356179146974,35.144773219672189],[129.06375321227293,35.144777610223613],[129.06394436948088,35.144768281396004],[129.06413380991253,35.144745302443951],[129.06432009120596,35.144708848881052],[129.06450179490415,35.144659197802468],[129.06467753854687,35.144596728629629],[129.06484598539492,35.144521914869351],[129.06500585216591,35.144435326717527],[129.06515592206699,35.144337623676762],[129.06529505347166,35.144229549033248],[129.06542218859607,35.144111924333473],[129.06553635783709,35.143985646621999],[129.0656366937958,35.143851675636213],[129.06572243124208,35.143711032002138],[129.06579292005688,35.143564785345056],[129.065847621817,35.143414048021135],[129.06588612175986,35.143259969552268],[129.06590812627491,35.14310372042867],[129.06591346835245,35.142946490234763]]]}"
6345460,2017081,1147010200,112911003,서울 서울양천3,서울특별시 양천구 목동(SC제일은행등촌지점 부근),6,6,0,3,3,0,126.8647581,37.54854832,"{""type"":""Polygon"",""coordinates"":[[[129.06141091975104,35.145177463169134],[129.06139956691331,35.145020448280775],[129.06137159600712,35.144864844000551],[129.0613272207494,35.144711834980136],[129.06126677955663,35.144562583521015],[129.06119073111793,35.144418227828893],[129.06109965517948,35.14427986577563],[129.06099424585437,35.144148549576919],[129.06087530272129,35.144025279596988],[129.06074373389126,35.143910992589539],[129.06060053951194,35.14380656010853],[129.06044680823413,35.14371277593272],[129.06028371167395,35.143630353433473],[129.06011249114204,35.143559920337644],[129.05993444876302,35.143502013433519],[129.05975093965836,35.143457071459764],[129.05956335992965,35.143425437965966],[129.05937313772776,35.14340735331394],[129.05918172010487,35.14340295574916],[129.05899056525047,35.143412276992855],[129.05880112613727,35.143435247862314],[129.05861484493505,35.143471692932778],[129.05843313993111,35.1435213352134],[129.05825739344556,35.143583795400332],[129.05808894211182,35.143658600115423],[129.05792907024377,35.143745179285467],[129.05777899131914,35.143842873592064],[129.05763985027889,35.143950939850328],[129.05751270497549,35.144068556655533],[129.05739852183476,35.144194827142364],[129.05729817280383,35.144328791645172],[129.05721241892337,35.144469429710981],[129.05714191384126,35.144615671773948],[129.05708719515147,35.144766405576775],[129.05704867790982,35.144920481662801],[129.05702665603738,35.145076729586009],[129.05702129686458,35.145233959784044],[129.05703264243081,35.145390974380348],[129.05706060533186,35.145546579860131],[129.05710497319149,35.145699591521129],[129.05716540776672,35.145848844304837],[129.05724145062084,35.14599320264216],[129.05733252217721,35.146131568580785],[129.05743792842199,35.146262888011556],[129.05755686988741,35.146386161373528],[129.05768843849575,35.146500450908761],[129.05783163415731,35.14660488766328],[129.05798536813123,35.146698675051766],[129.05814846763914,35.146781100520663],[129.05831969452265,35.146851535309601],[129.05849774325631,35.146909445297581],[129.05868125955467,35.146954388059932],[129.05886884714866,35.146986022699863],[129.05905907763128,35.147004107919365],[129.0592505026184,35.147008506371243],[129.05944166690472,35.146999183588562],[129.05963111402301,35.146976211519551],[129.05981740264065,35.146939764709884],[129.05999911426196,35.146890121104654],[129.06017486631498,35.146827657371141],[129.06034332096777,35.14675285058761],[129.06050319701356,35.146666268171359],[129.06065327760592,35.146568570482721],[129.06079241883336,35.146460499893927],[129.06091956288893,35.146342880617965],[129.06103374333364,35.146216606918458],[129.06113408831936,35.14608263946014],[129.06121983691122,35.1459419978843],[129.06129033565591,35.145795753638843],[129.06134504715197,35.145645019047464],[129.06138355651117,35.145490940913923],[129.06140557010292,35.145334692423219],[129.06141091975104,35.145177463169134]]]}"
6345513,2017081,1147010300,112911005,서울 서울양천5,서울특별시 양천구 신월동(반석교회 부근),4,4,0,2,2,0,126.8335411,37.52197678,"{""type"":""Polygon"",""coordinates"":[[[126.71121152201748,35.983653796726138],[126.71120464392737,35.983496597901265],[126.71118093628455,35.983340483902872],[126.71114057704256,35.983186643259735],[126.71108387410428,35.983036247317131],[126.71101126098935,35.982890439389934],[126.7109232879934,35.982750331099304],[126.71082062566528,35.982616987069633],[126.71070405594924,35.982491423068566],[126.71057446565382,35.982374593343273],[126.71043283981354,35.982267388775256],[126.71028025848648,35.982170624238712],[126.71011788125301,35.982085035795308],[126.70994694505215,35.982011275272107],[126.7097687487083,35.981949904751659],[126.70958465078699,35.981901389346511],[126.70939605071446,35.98186609978081],[126.7092043844158,35.981844305149821],[126.70901111104428,35.98183616922698],[126.70881770072999,35.981841755792971],[126.70862562468213,35.981861020456492],[126.70843634512904,35.981893818702041],[126.70825130317509,35.981939900400008],[126.708071905458,35.98199891332434],[126.70789951964326,35.982070410334607],[126.70773545559787,35.982153846545863],[126.70758096310225,35.982248586524946],[126.70743721626927,35.982353909595751],[126.70730531127299,35.982469015232027],[126.70718625079346,35.98259302565787],[126.70708094056273,35.982724998445477],[126.7069901826909,35.982863928272536],[126.70691466888303,35.983008759498112],[126.70685497154581,35.983158387905561],[126.7068115469588,35.983311676049325],[126.70678472636212,35.983467456801122],[126.70677471140769,35.983624544138181],[126.70678158071173,35.983781743103307],[126.70680527978679,35.983937857852368],[126.70684563093977,35.98409169983384],[126.70690232651353,35.984242097661784],[126.70697493321212,35.984387907963914],[126.70706290093506,35.98452801904704],[126.70716555929359,35.984661366201877],[126.70728212646404,35.984786933565822],[126.70741171571522,35.9849037667895],[126.70755334204453,35.985010974885192],[126.70770592537879,35.985107742871421],[126.70786830607673,35.985193334581766],[126.70803924709408,35.985267098089849],[126.70821744946014,35.985328471222495],[126.70840155442627,35.985376988787714],[126.70859016235228,35.985412279995785],[126.70878183707445,35.985434075701484],[126.70897511918351,35.985442212098754],[126.70916853828386,35.985436625392509],[126.70936062289947,35.985417359978285],[126.7095499105416,35.985384560394408],[126.70973495986006,35.985338476811151],[126.70991436399343,35.985279461511816],[126.71008675508121,35.985207961709079],[126.7102508230962,35.985124522372658],[126.7104053181374,35.985029779030711],[126.71054906601459,35.984924452461456],[126.71068097052191,35.984809343297563],[126.71080002899423,35.984685329422014],[126.71090533576044,35.984553353367474],[126.71099608881582,35.984414420555517],[126.71107159660147,35.984269586717801],[126.71113128689387,35.984119956150231],[126.71117470362736,35.983966666364111],[126.71120151580057,35.983810884537633],[126.71121152201748,35.983653796726138]]]}"
6345317,2017081,1147010300,112911006,서울 서울양천6,서울특별시 양천구 신월동(삼오빌딩 부근),4,4,0,1,3,0,126.8334839,37.53658634,"{""type"":""Polygon"",""coordinates"":[[[126.83580432539316,37.521989525573389],[126.83579710552571,37.521832370180469],[126.83577271664197,37.521676313411035],[126.83573134409086,37.5215225433722],[126.83567330350806,37.521372230869972],[126.83559903524217,37.521226519463674],[126.83550910555491,37.521086517361503],[126.83540419988429,37.520953291074356],[126.83528511388559,37.520827854550426],[126.83515275688814,37.520711161985446],[126.83500813498425,37.520604100518248],[126.83485234766604,37.520507486607961],[126.83468658340342,37.520422054293377],[126.83451210040792,37.520348455086072],[126.83433022899372,37.520287247169009],[126.83414235231899,37.520238897993508],[126.83394989968723,37.520203774327747],[126.83375433635044,37.520182144003037],[126.83355715110547,37.520174171337736],[126.83335984271106,37.520179917962544],[126.83316391426602,37.520199339183542],[126.83297085620768,37.520232287491524],[126.83278213840276,37.520278511615608],[126.8325991965323,37.520337660952485],[126.83242342305829,37.520409283711743],[126.83225615469115,37.520492836758862],[126.83209866449509,37.520587682865127],[126.83195215274102,37.520693101470727],[126.83181773332869,37.520808288606474],[126.83169642802476,37.520932368576979],[126.83158916303572,37.521064397545189],[126.8314967519687,37.521203370645146],[126.83141989916048,37.521348229210034],[126.83135919052576,37.521497871535345],[126.83131508670873,37.521651159148327],[126.83128792413876,37.521806924925066],[126.83127791041198,37.521963982978512],[126.83128511966441,37.522121139447961],[126.83130949931724,37.522277197043856],[126.83135086317047,37.522430967627528],[126.83140889582882,37.522581283052958],[126.83148315720831,37.522726996995488],[126.83157308125652,37.522867001169836],[126.83167798269088,37.523000230777363],[126.83179706599296,37.523125670867735],[126.83192942190723,37.523242368038098],[126.83207404439818,37.52334943233322],[126.83222983393203,37.523446049884498],[126.83239560311115,37.523531485647645],[126.83257009020622,37.523605088888644],[126.83275196816264,37.523666298644386],[126.83293985246014,37.52371465097913],[126.83313231358738,37.523749776352197],[126.83332788602617,37.523771407781702],[126.83352508184277,37.523779380020784],[126.83372239857295,37.523773634109254],[126.8339183362489,37.523754212061817],[126.8341114030132,37.523721262307689],[126.83430012874253,37.52367503526041],[126.83448307749133,37.523615884288617],[126.83465885775206,37.523544257660944],[126.8348261292238,37.52346070128705],[126.83498362211655,37.523365851614365],[126.83513013493773,37.523260430205958],[126.83526455377903,37.523145238439731],[126.83538585686735,37.523021154828186],[126.8354931180715,37.522889122417816],[126.8355855238913,37.522750147080401],[126.83566237016531,37.522605285775519],[126.83572307117723,37.52245564029095],[126.8357671664908,37.522302351871978],[126.83579431995877,37.522146584990438],[126.83580432539316,37.521989525573389]]]}"
6345543,2017081,1150010300,112311001,서울 서울강서1,서울특별시 강서구 화곡동(형제빌딩 부근),9,9,0,6,2,1,126.8464162,37.53249515,"{""type"":""Polygon"",""coordinates"":[[[126.7303153206188,37.537570593371854],[126.73030832126348,37.537413433410393],[126.73028414801844,37.537257357578888],[126.73024298460024,37.537103553228157],[126.73018514505247,37.536953191426129],[126.73011106819443,37.536807416106257],[126.73002131882329,37.536667336865506],[126.72991658102241,37.536534019007028],[126.7297976491693,37.536408477173616],[126.72966543140323,37.536291668160828],[126.72952093275846,37.53618447999267],[126.7293652518146,37.536087727394495],[126.72919957619757,37.536002149061311],[126.72902516347918,37.535928394014569],[126.72884334341445,37.535867024322378],[126.7286554987778,37.535818507764894],[126.72846305863068,37.535783212383592],[126.72826748812955,37.535761407316926],[126.72807027611709,37.535753259114706],[126.72787292158176,37.535758828044699],[126.72767692794731,37.53577807346344],[126.72748378615574,37.53581084829765],[126.72729496671172,37.535856902597082],[126.72711190606775,37.535915887050216],[126.72693599758243,37.535987352022914],[126.72676857901824,37.536070752883404],[126.72661092454688,37.536165457159555],[126.72646423572476,37.53627074177416],[126.72632962777311,37.536385806473746],[126.72620812389154,37.536509776493659],[126.72610065181591,37.536641707040694],[126.72600802672862,37.536780593995509],[126.72593095457802,37.536925381143732],[126.72587002295634,37.537074966424107],[126.72582569420383,37.537228211796887],[126.72579830646254,37.53738395046053],[126.72578806903365,37.537540997636562],[126.72579505778118,37.537698156848364],[126.72581922177885,37.537854233484694],[126.72586037646859,37.53800803926157],[126.72591820807196,37.538158403067733],[126.72599227801112,37.538304180908845],[126.72608202168976,37.538444264012654],[126.72618675522509,37.538577584282059],[126.72630568434165,37.538703129677621],[126.72643790099261,37.538819942394127],[126.72658240017756,37.538927134295115],[126.72673808330049,37.539023890541834],[126.72690376380109,37.53910947233576],[126.72707818059811,37.539183230528295],[126.72726000717358,37.539244602977796],[126.72744785942359,37.539293121812861],[126.72764030805531,37.539328418922885],[126.72783588765441,37.539350225116799],[126.72803311022435,37.539358374719292],[126.72823047312239,37.539352804721595],[126.72842647600424,37.539333558498051],[126.72861962652428,37.539300782237675],[126.72880845391268,37.539254725934121],[126.72899152147556,37.539195738959727],[126.7291674367759,37.539124271032712],[126.7293348584831,37.539040866852559],[126.72949251569099,37.53894615901428],[126.72963920562826,37.538840870695935],[126.72977381303971,37.538725802263528],[126.72989531474222,37.53860182859507],[126.73000278305682,37.538469895496021],[126.73009540294295,37.538331004486679],[126.73017246858279,37.538186214581152],[126.73023339259112,37.538036627023189],[126.73027771285902,37.537883379921702],[126.73030509150236,37.53772764013079],[126.7303153206188,37.537570593371854]]]}"
6345293,2017081,1150010300,112311002,서울 서울강서2,서울특별시 강서구 화곡동(우장공원입구 부근),6,7,0,2,4,1,126.8508841,37.55318689,"{""type"":""Polygon"",""coordinates"":[[[127.45205608436449,36.355324235993521],[127.45204769784552,36.355167083263837],[127.45202241175549,36.355011120089806],[127.45198041605353,36.354857533866387],[127.45192203110727,36.354707491298861],[127.45184770323226,36.354562136598616],[127.45175799578224,36.354422575252826],[127.45165359249353,36.354289868617442],[127.45153528857014,36.35416502760431],[127.45140398400223,36.354049000959655],[127.45126067687896,36.353942673459898],[127.4511064600522,36.353846853290179],[127.4509425055352,36.353762269335022],[127.45077006227773,36.353689565769571],[127.45059044056822,36.353629295743922],[127.45040500980859,36.353581918678749],[127.45021517957386,36.353547793947875],[127.45002239627115,36.353527181779278],[127.44982812419846,36.353520239641732],[127.44963384443608,36.353527018638552],[127.44944103367099,36.353547468908125],[127.44925115974596,36.353581434212664],[127.44906566828658,36.353628655538323],[127.44888596932813,36.353688774695001],[127.44871343286111,36.35376133341213],[127.44854936988284,36.353845779640132],[127.44839503016878,36.353941470252948],[127.44825158666656,36.354047677350628],[127.44812013326441,36.354163593666172],[127.44800166918597,36.354288335261856],[127.44789709563825,36.35442095414777],[127.44780720912192,36.354560440080533],[127.44773269473474,36.354705732279037],[127.44767411724878,36.354855725729948],[127.44763192556216,36.355009276597976],[127.44760643819595,36.355165218446217],[127.4475978499768,36.355322364041534],[127.44760622756758,36.355479516170767],[127.44763150611159,36.355635480260659],[127.44767349256917,36.355789068887042],[127.44773187016503,36.355939112595856],[127.4478061916908,36.356084469817645],[127.44789589398556,36.356224034988799],[127.44800029347081,36.356356744861294],[127.44811859505755,36.356481589326535],[127.44824989882713,36.356597618631859],[127.44839320671302,36.356703950597257],[127.44854742584178,36.356799774224619],[127.44871138412977,36.356884361425962],[127.44888383251309,36.356957067025888],[127.44906346054653,36.357017339588261],[127.44924889863655,36.357064718713744],[127.44943873698539,36.357098844965911],[127.44963153005395,36.357119458071018],[127.44982580993714,36.357126401432026],[127.4500200997434,36.357119621233053],[127.4502129180545,36.357099170047597],[127.4504028001088,36.357065203241142],[127.45058829891912,36.357017979872708],[127.45076800422684,36.356957858194406],[127.45094054584796,36.356885297455058],[127.45110461262969,36.356800847989909],[127.45125895468041,36.356705153924985],[127.4514023989821,36.35659894236354],[127.45153385162051,36.356483023385451],[127.45165231339688,36.356358278332131],[127.45175688317366,36.356225656200067],[127.45184676456527,36.356086166429684],[127.45192127262852,36.355940871694514],[127.45197984278356,36.355790877084793],[127.4520220274712,36.355637323794433],[127.45204750507153,36.355481381009689],[127.45205608436449,36.355324235993521]]]}"
