다발지명	발생건수	사상자수	사망자수	중상자수	경상자수	부상신고자수
강릉시	5	5	1	1	3	0
거제시	10	11	0	5	6	0
고양시	10	11	0	6	5	0
고흥군	5	5	0	5	0	0
광양시	6	6	0	1	5	0
광주시	14	14	1	5	8	0
광주 광역시	71	78	7	35	36	0
구미시	8	9	0	2	6	1
군산시	8	8	0	4	4	0
김포시	6	7	0	3	3	1
김해시	18	19	0	9	9	1
대구 광역시	48	50	1	22	22	5
대전 광역시	42	46	4	19	22	1
동해시	5	6	0	1	4	1
목포시	12	12	1	5	6	0
부사 광역시	70	78	5	46	24	3
부여군	6	6	0	2	4	0
부천시	36	60	0	16	23	1
서산시	4	4	0	3	1	0
서울 특별시	90	96	6	45	39	6
서천군	7	8	1	3	4	0
성남시	15	15	1	6	8	0
세종특별자치시	4	5	1	1	3	0
속초시	5	5	0	1	3	1
수원시	9	9	0	4	4	1
순천시	8	8	0	3	5	0
시흥시	5	6	0	1	4	1
아산시	14	14	1	4	9	0
안산시	16	16	1	7	8	0
안성시	6	7	1	3	3	0
안양시	4	4	0	3	1	0
여수시	16	18	1	5	12	0
연천군	5	5	0	5	0	0
영천시	4	4	0	4	0	0
용신시	12	13	0	8	4	1
울산 광역시	8	8	0	5	3	0
원주시	5	5	0	1	4	0
음성군	5	5	0	3	2	0
이천시	20	21	0	9	11	1
익산시	15	15	0	6	9	0
인천 광역시	52	55	3	31	18	3
전주시	14	14	0	7	6	1
정읍시	8	8	0	4	4	0
제주특별자치도	9	9	1	3	1	4
제천시	7	7	1	2	3	1
진주시	3	3	2	1	0	0
창원시	18	19	0	13	6	0
천안시	13	14	0	4	9	1
청주시	10	11	0	4	7	0
통영시	5	5	0	4	1	0
파주시	10	10	0	6	3	1
평택시	5	5	1	2	2	0
하남시	8	11	0	3	7	1
화성시	18	19	1	6	11	1
